country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Grenada,4400,4670,4700,4620,4750,4850,5110,5410,6030,6480,6830,6710,6960,7760,7650,9560,9390,10000,10300,9290,9600,9910,9910,10700,10900,11500,12600,13300,14200,14500,12900,13900,15600
Guatemala,3220,3420,3560,3710,3840,4020,4090,4250,4430,4540,4700,4840,4930,5050,5220,5440,5770,6160,6420,6350,6450,6720,7060,7270,7560,8000,8040,8150,8500,8880,8700,9610,10600
Guyana,2700,2820,3240,3730,4210,4530,5100,5440,5450,5630,5760,5990,6140,6260,6580,6700,7130,8080,8400,8790,9390,10100,10700,11300,11200,11400,11500,12200,12600,13200,18900,22900,38300
"Hong Kong, China",17700,19100,20600,22900,24200,24900,24900,26600,25600,26400,28400,29500,29800,32000,35300,38300,42700,46700,49600,47200,50200,53700,53000,54700,55900,57500,58700,62400,65500,65300,62500,70800,74000
Honduras,1900,1830,1920,2080,2070,2180,2200,2300,2360,2330,2480,2530,2580,2660,2810,3020,3230,3500,3650,3550,3550,3660,3690,3780,4020,4410,4690,5110,5250,5390,4940,5640,6220
Croatia,,,,,,8050,8800,9530,9890,9730,10500,11400,12600,13200,14400,15100,17200,19100,20300,19500,19400,20400,20800,21800,22100,23500,24900,27200,28900,31700,30400,35500,40600
Haiti,2170,2240,2130,2020,1790,1980,2060,2110,2140,2190,2210,2210,2230,2310,2300,2400,2490,2630,2710,2850,2690,2860,2810,3000,3020,2950,3150,3210,3300,3260,3140,3180,3310
Hungary,,,,8220,8610,8800,8930,9230,9750,10200,11200,12400,13700,14600,15300,16000,17300,17600,19400,19800,20700,21900,22300,23800,24500,25500,27200,28300,30700,33700,33400,35600,40500
Indonesia,2920,3170,3400,3680,4020,4360,4720,4940,4150,4090,4370,4710,4970,5190,5490,5890,6360,6870,7370,7660,8210,8770,9370,9710,9890,9880,10200,10600,11300,12000,11800,12700,14300
India,1190,1210,1280,1350,1440,1550,1670,1740,1830,1990,2070,2180,2260,2440,2660,2920,3200,3500,3610,3870,4170,4430,4770,4950,5130,5350,5710,6050,6520,6830,6430,7220,8230
Ireland,12800,13400,13900,14600,15800,17300,18800,20400,22500,23600,26300,27800,29500,31300,33400,35000,38800,40400,38200,34600,36300,36700,37500,40400,43300,53200,58300,62000,65700,69700,70700,80900,91100
Iran,7590,8530,8790,8810,8770,9040,9670,9850,10000,10200,10900,11200,12200,13400,14100,14700,15700,17200,17400,17400,18400,19000,16900,16000,15800,13800,14700,15200,15100,14700,15200,16600,18200
Iraq,,2640,3490,4490,4540,4570,5000,5900,7790,8950,10500,10600,9430,6020,9210,8510,9570,10300,11900,11900,12200,12800,14300,14400,12900,9120,8840,9900,10200,10700,9250,9600,10800
Iceland,,,,,,23600,24600,26500,28100,29000,28700,30800,32700,32400,34400,35500,36300,38800,34000,33600,32200,34500,36700,42100,43500,46500,51000,53900,54300,59500,53100,55500,65900
Israel,,,,,,20100,21000,21500,22100,22400,24200,24700,25100,23800,25300,25400,26200,28100,27500,27300,28800,30800,31600,34000,34500,35500,37700,39100,40000,40500,39700,43500,49300
Italy,18400,19300,19800,20100,21000,22100,22800,23800,24900,25600,27000,27900,28600,29100,29500,30200,32600,34200,35200,34600,35100,36500,36400,36300,36200,36600,40000,41800,43500,46200,43700,48200,53300
