country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Liechtenstein,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5810,5827,5852,5885,5927,5970,6012,6055,6098,6142,6186,6230,6274,6319,6364,6409,6455,6501,6548,6594,6641,6689,6736,6784,6833,6882,6931,6980,7030,7080,7130,7181,7234,7287,7340,7393,7447,7502,7556,7612,7667,7723,7779,7836,7893,7951,8009,8068,8126,8186,8246,8306,8366,8427,8489,8551,8613,8676,8739,8803,8868,8932,8997,9063,9129,9196,9263,9331,9399,9467,9536,9606,9676,9747,9818,9890,9962,10034,10108,10181,10256,10331,10406,10482,10558,10635,10713,10791,10870,10949,11033,11121,11212,11309,11409,11511,11614,11717,11821,11925,12008,12070,12112,12133,12133,12133,12133,12133,12133,12133,12147,12176,12219,12277,12350,12423,12496,12570,12644,12719,12794,12869,12945,13022,13099,13176,13254,13332,13411,13490,13608,13765,14005,14238,14476,14712,14945,15206,15508,15834,16151,16472,16834,17221,17625,18058,18500,18957,19467,20011,20558,21089,21517,21873,22251,22638,23030,23416,23803,24205,24616,25003,25346,25689,26055,26420,26785,27159,27542,27944,28357,28765,29168,29581,30012,30447,30890,31337,31770,32190,32615,33026,33376,33693,34000,34300,34603,34889,35150,35401,35675,35926,36189,36505,36806,37096,37355,37609,37889,38181,38482,38756,39039,39327,39584,39822,40050,40272,40477,40675,40858,41030,41193,41335,41468,41593,41703,41806,41892,41966,42041,42105,42149,42194,42231,42252,42273,42289,42300,42304,42300,42287,42264,42243,42221,42194,42159,42117,42075,42030,41980,41931,41880,41830,41778,41730,41682,41636,41596,41562,41528,41497,41468,41444,41429,41412,41399,41390,41383,41385,41382,41373,41370,41374,41374,41376,41379,41376,41379,41382,41386,41392,41395,41404,41410,41412,41420,41435,41446,41461,41468,41474
Lithuania,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,780957,785594,792601,802014,813867,825895,838101,850488,863057,875813,888757,901892,915221,928747,942473,956403,970537,984881,999437,1014208,1029197,1044408,1059844,1075507,1091403,1107533,1123901,1140512,1157368,1174473,1191830,1209445,1227363,1245548,1264001,1282728,1301733,1321019,1340590,1360452,1380608,1401063,1421820,1442886,1464263,1485957,1507972,1530314,1552986,1575995,1599344,1623040,1647086,1671488,1696253,1721384,1746887,1772768,1799033,1825687,1852735,1880185,1908041,1936310,1964997,1994110,2023654,2053636,2084061,2114938,2146272,2178071,2210340,2243087,2276320,2310045,2344270,2379002,2414248,2450017,2486315,2523151,2560533,2598469,2636967,2676035,2715682,2755916,2796747,2838182,2856127,2850870,2822686,2771839,2698580,2627257,2557819,2490216,2424401,2360240,2313316,2283303,2269882,2272745,2291594,2310599,2329762,2349083,2368565,2388209,2404387,2417070,2426224,2431818,2433819,2435821,2437825,2439831,2441838,2443847,2447639,2453223,2460610,2469807,2480826,2491894,2503011,2514177,2525394,2536661,2549788,2564798,2589204,2615037,2641911,2669860,2699051,2729749,2762994,2799003,2836501,2875684,2915626,2952461,2986530,3020457,3052979,3084148,3115198,3146348,3177836,3210147,3243675,3276294,3307075,3337697,3368287,3399021,3430115,3460849,3491432,3521206,3550539,3580825,3612640,3643837,3672852,3702828,3732005,3755541,3773180,3785847,3793425,3795742,3788528,3770456,3747267,3722022,3694896,3665510,3633944,3599637,3560142,3515799,3469675,3422591,3373533,3322932,3272418,3224378,3180479,3139019,3099798,3063341,3028189,2994927,2963765,2933673,2904450,2876128,2849083,2820267,2786651,2750055,2718352,2692798,2668446,2645221,2622934,2601223,2579906,2558928,2538213,2517665,2497243,2476990,2456932,2437128,2417606,2398329,2379311,2360590,2342143,2323956,2306096,2288573,2271313,2254285,2237425,2220704,2204104,2187550,2170990,2154416,2137798,2121113,2104361,2087537,2070651,2053722,2036744,2019733,2002804,1985987,1969242,1952579,1936043,1919723,1903598,1887678,1872058,1856727,1841675,1826928,1812520,1798464,1784730,1771303,1758181,1745335,1732772,1720494,1708445,1696595,1684939,1673489,1662231,1651135,1640179,1629316,1618520,1607822,1597242,1586748,1576291,1565861,1555447,1545006,1534545,1524091,1513608,1503077
Luxembourg,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127781,129306,131626,134767,138752,142854,147078,151426,155903,160513,164448,167685,170197,171960,172946,173937,174934,175937,176946,177960,179025,180143,181313,182537,183814,185100,186396,187700,189014,190336,191594,192785,193905,194957,195940,196929,197922,198920,199924,200932,201639,202043,202145,201942,201435,200930,200425,199922,199420,198919,198752,198919,199422,200262,201440,202624,203816,205015,206221,207433,208426,209196,209742,210064,210160,210255,210351,210447,210543,210638,211189,212200,213676,215623,218047,220498,222976,225482,228017,230579,233099,235574,238004,240386,242721,245078,247458,249862,252288,254738,256884,258721,260245,261452,262338,263227,264119,265014,265912,266818,268134,269864,272016,274594,277606,280650,283728,286839,289985,293165,295743,297712,299065,299795,299894,299994,300094,300194,300294,300394,300365,300207,299921,299506,298963,298421,297880,297340,296801,296262,296190,296584,298212,300055,301760,303507,305514,307259,308843,310585,312505,314168,316587,319852,323006,326363,329794,333130,335560,337046,338279,339342,341971,346079,349186,351387,353666,355889,358267,361069,362932,363741,364473,365020,365440,365779,366466,368170,370526,373432,376949,381267,386399,391516,396697,402043,407635,413202,418411,423574,429349,435628,441250,445913,451351,457788,464860,472404,479868,488635,497868,507070,518206,530585,543066,556069,569408,583351,596283,607913,619973,630399,639321,647599,654768,661594,668100,674296,680226,685968,691585,697086,702458,707675,712750,717696,722516,727217,731798,736260,740621,744884,749034,753090,757069,760934,764687,768343,771898,775350,778689,781910,785023,788033,790931,793739,796470,799110,801673,804149,806515,808808,811029,813176,815257,817278,819217,821088,822926,824710,826447,828147,829804,831453,833091,834701,836308,837895,839438,840970,842508,844025,845538,847080,848624,850164,851706,853283,854912,856553,858239,859976,861755,863568,865415,867294,869221,871199,873221,875284,877370,879481
"Macedonia, FYR",391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,391865,392555,393941,396029,398826,402337,405879,409452,413057,416693,420362,424063,427796,431562,435361,439194,443061,446961,450896,454866,458870,462910,466985,471097,475244,479428,483649,487907,492202,496535,500906,505316,509765,514410,519097,523827,528600,533416,538276,543180,548129,553123,558163,563248,568380,573558,578783,584056,589377,594746,600165,605632,611150,616717,622335,628004,633725,639498,645324,651202,657134,663120,669160,675256,681406,687613,693876,700197,706574,713010,719504,726058,732671,739344,746078,752873,759730,766649,773632,780678,787788,794962,802202,809508,816880,824319,831826,839401,847045,854759,862543,870398,878324,886322,894393,902537,910756,919049,927417,935862,944101,952413,960798,969256,977789,986397,995081,1003842,1012679,1021595,1030588,1039661,1048814,1058048,1067363,1076759,1086239,1095802,1105449,1115181,1124999,1134903,1144894,1154973,1165142,1175399,1185747,1196186,1206717,1217340,1228058,1239418,1251433,1282525,1311488,1339581,1361960,1379140,1395504,1411818,1428602,1445685,1462368,1481112,1497338,1511854,1529507,1547982,1567707,1588649,1610537,1633502,1656783,1679012,1701498,1725228,1749329,1774013,1799332,1825299,1851978,1879354,1907023,1935200,1958275,1974441,1988682,2001504,2012926,2023097,2031932,2039426,2044174,2036686,2018023,1996893,1982458,1983964,1994226,2004234,2012844,2023778,2037936,2053384,2064737,2071142,2075874,2078662,2081075,2083488,2086227,2089787,2093828,2097099,2099478,2102215,2105291,2107962,2110196,2111979,2113491,2114176,2111072,2103330,2093599,2085679,2082706,2082425,2081573,2080144,2078115,2075487,2072256,2068443,2064037,2059037,2053511,2047455,2040880,2033842,2026372,2018461,2010114,2001364,1992276,1982876,1973157,1963152,1952886,1942373,1931608,1920582,1909309,1897805,1886056,1874063,1861862,1849472,1836850,1823964,1810841,1797511,1783977,1770213,1756268,1742144,1727813,1713288,1698596,1683725,1668672,1653485,1638175,1622752,1607204,1591552,1575875,1560184,1544472,1528778,1513159,1497627,1482154,1466778,1451533,1436449,1421544,1406828,1392296,1377955,1363819,1349883,1336147,1322601,1309280,1296175,1283271,1270572,1258065,1245738,1233585,1221601,1209753
Madagascar,1500000,1508658,1517367,1526125,1534934,1543794,1552706,1561668,1570682,1579749,1588920,1598092,1607316,1616594,1625926,1635311,1644750,1654244,1663793,1676505,1692445,1711680,1734276,1760301,1786717,1813529,1840744,1868367,1896405,1924863,1953749,1983068,2012827,2043032,2073691,2104810,2136396,2168455,2200996,2234026,2267551,2301579,2336117,2371174,2406757,2442874,2479533,2516742,2554510,2586526,2612685,2630135,2641482,2646637,2651799,2656969,2662145,2667329,2672520,2677718,2682923,2688135,2693354,2698581,2703814,2709055,2714303,2719558,2724820,2730636,2737010,2743942,2751436,2759492,2767569,2775667,2783785,2791923,2800082,2808262,2816462,2824683,2832925,2841187,2849471,2857775,2866099,2874445,2882812,2884813,2880490,2869881,2853026,2829964,2807086,2784389,2761872,2739534,2717373,2696994,2678373,2661485,2646307,2632815,2619388,2606027,2592730,2579499,2566331,2554245,2543231,2533278,2524377,2516519,2508682,2500866,2493071,2485298,2480328,2483766,2495724,2516310,2545639,2583823,2622580,2661919,2701848,2742376,2783511,2824690,2865906,2907150,2948415,2989693,3031549,3073990,3117026,3160665,3204914,3252418,3303271,3357567,3415404,3476882,3539465,3603176,3668033,3734058,3801271,3874476,3953896,4050682,4149956,4252319,4358096,4467590,4580881,4698038,4819229,4944333,5073342,5206239,5343117,5484252,5630024,5780453,5936461,6099529,6270528,6450324,6639751,6840457,7051090,7268560,7491935,7720859,7955197,8195142,8440919,8692289,8948162,9207310,9470990,9740088,10015017,10297746,10588428,10890514,11206789,11536734,11882762,12245260,12623342,13020100,13436121,13869138,14317454,14778903,15250934,15730885,16216431,16709665,17211934,17724310,18250774,18792171,19350299,19924958,20513599,21117092,21731053,22348158,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382789,37165274,37952413,38742689,39534122,40326745,41120987,41918817,42720774,43524300,44328120,45131260,45935275,46740497,47546606,48355513,49165426,49974855,50784139,51592965,52399823,53206238,54012666,54818203,55619950,56416688,57210138,57999237,58786067,59569664,60345946,61116588,61880166,62634952,63382662,64121854,64851018,65573232,66288488,66996741,67699055,68390904,69073458,69747752,70410412,71060446,71700163,72330872,72949534,73555981,74152083,74732965,75299217,75857443,76405171,76942333,77469841,77987912,78494607,78988977,79472330,79943251,80402035,80848031,81282879,81710424,82128831,82535584,82932561,83316557
Malawi,737000,752981,769309,785991,803034,820447,838238,856414,874985,893958,913763,933577,953821,974504,995635,1017225,1039282,1061818,1084843,1108367,1132401,1156956,1182043,1207675,1233862,1260617,1287953,1315881,1344414,1373567,1403351,1433782,1464872,1496637,1529090,1562247,1596123,1630733,1666094,1702222,1739133,1776845,1815374,1854739,1894957,1936047,1978029,2020921,2064743,2099962,2126398,2144568,2153584,2153242,2152900,2152558,2152216,2151874,2151531,2150968,2150183,2149178,2147952,2146506,2145060,2143615,2142170,2140726,2139284,2137622,2135742,2133644,2131328,2128795,2126264,2123737,2121212,2118690,2116170,2114921,2114943,2116238,2118806,2122649,2126499,2130356,2134219,2138089,2141966,2143491,2142667,2139498,2133988,2126140,2118321,2110530,2102768,2095033,2087328,2077993,2067047,2054509,2040396,2024726,2009176,1993745,1978433,1963238,1948159,1934730,1922933,1912751,1904164,1897158,1890176,1883221,1876290,1869385,1861908,1861479,1868175,1882076,1903260,1931809,1960787,1990198,2020051,2050352,2081108,2111896,2142711,2173547,2204399,2235261,2266554,2298286,2330462,2363088,2396172,2431689,2469709,2510304,2553546,2599510,2646301,2693934,2742425,2791789,2842041,2894667,2949739,3001113,3056297,3114930,3176123,3240318,3308682,3381111,3457376,3537432,3621081,3708193,3799155,3893628,3990361,4089097,4190764,4295762,4403430,4512861,4625141,4742480,4865978,4996239,5134199,5280965,5438226,5611712,5808810,6029140,6267369,6519891,6784347,7058317,7339002,7625078,7909819,8295993,8754781,9174895,9539665,9831584,10115420,10257233,10131799,10112816,10310528,10512678,10732456,10973956,11229387,11498818,11784498,12087965,12411342,12755648,13118307,13495463,13889423,14298932,14718422,15146094,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317,20931751,21475962,22033992,22601151,23176271,23758548,24347875,24944243,25544608,26148406,26755508,27364192,27975136,28589069,29206646,29825538,30443121,31059544,31674805,32289974,32904194,33515465,34126156,34735673,35344273,35952327,36557676,37159300,37756274,38349203,38940204,39527997,40111554,40690626,41265001,41836941,42404926,42963917,43515791,44062512,44601768,45132253,45653352,46168319,46677673,47180754,47677719,48166813,48648465,49120721,49580731,50030945,50473009,50905898,51328433,51741397,52145908,52543916,52934607,53314665,53686080,54048535,54400048,54741018,55070679,55390428,55702795,56005998,56299310,56583136,56856796,57121461,57377618,57624469,57861503,58090181,58310462,58521719
Malaysia,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,288186,290582,294213,299105,305283,311589,318026,324595,331300,338144,345129,352258,359535,366962,374542,382279,390176,398236,406462,414858,423428,432175,441102,450214,459514,469006,478694,488583,498675,508977,519506,530268,540640,551230,562041,573064,584302,595760,607441,619351,631494,643873,656494,669362,682481,695857,709493,723396,737570,752020,768940,788448,810668,835729,863764,892739,922684,953632,985617,1018673,1052836,1088144,1124633,1162345,1201320,1241599,1283228,1326250,1370712,1416663,1464167,1513275,1564042,1616523,1670777,1726850,1784802,1844695,1906596,1970571,2033092,2094024,2153226,2210550,2265841,2322511,2380595,2440128,2501146,2563685,2624687,2684056,2741696,2797504,2851375,2906279,2962236,3019266,3077388,3140574,3206111,3274070,3344525,3417552,3493228,3570579,3649643,3730458,3813063,3897496,3982894,4069257,4156587,4244888,4334158,4425306,4518371,4613393,4710414,4809474,4906611,5001715,5094675,5185374,5273693,5363517,5454871,5547780,5642272,5738373,5848384,5972876,6118736,6273219,6435027,6605394,6786077,6977024,7178108,7385689,7602942,7833782,8074805,8324218,8579350,8835925,9091016,9340240,9582086,9821308,10061684,10306508,10552557,10801619,11062664,11335187,11617947,11910081,12218924,12543892,12875011,13215707,13564594,13921029,14292862,14686454,15108135,15558740,16033103,16524616,17020143,17517054,18017464,18526708,19050077,19588703,20136888,20689051,21249178,21810542,22368655,22945150,23542517,24142445,24739411,25333247,25923536,26509413,27092604,27664296,28217204,28717731,29184133,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221,34308525,34671895,35028030,35376942,35718158,36050662,36373834,36687569,36992784,37288666,37573537,37847164,38109999,38362771,38605692,38838995,39063349,39279459,39487920,39688220,39880624,40066400,40244776,40415981,40580199,40737582,40888501,41032433,41168897,41297797,41419071,41532745,41639027,41737197,41826760,41907596,41979830,42043514,42098330,42144488,42181745,42209656,42228224,42236994,42236239,42225923,42206041,42177549,42140738,42096945,42047036,41990028,41925664,41855016,41779488,41699189,41614787,41526445,41434429,41340441,41245149,41147392,41047236,40946336,40844603,40741276,40636611,40532012,40427562,40322097,40216195,40111111,40006088,39900120,39793499,39687007,39580829,39474474
Maldives,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42428,42528,42680,42882,43135,43390,43646,43904,44163,44424,44686,44950,45216,45483,45752,46022,46294,46567,46842,47119,47397,47677,47959,48242,48527,48814,49102,49392,49684,49977,50272,50569,50812,51056,51301,51547,51794,52042,52292,52542,52794,53047,53301,53556,53812,54070,54328,54588,54849,55111,55374,55639,55904,56171,56439,56709,56979,57251,57524,57798,58073,58350,58628,58907,59187,59469,59752,60036,60322,60608,60896,61186,61476,61768,62061,62356,62652,62949,63247,63547,63848,64150,64454,64759,65066,65374,65683,65994,66306,66619,66816,66898,66863,66713,66446,66181,65917,65654,65391,65207,65218,65426,65831,66438,67246,68065,68893,69731,70580,71438,72254,73027,73754,74436,75070,75710,76356,77007,77663,78325,78729,78873,78757,78383,77749,77120,76497,75878,75264,74656,74395,74484,75816,77211,78659,80193,81823,83559,85417,87387,89459,91650,93952,96332,98775,101241,104566,108713,112547,116049,119569,123243,127066,130990,134940,138944,143126,147468,151792,156025,160326,164887,169663,174523,179339,184388,190383,197225,204256,211160,217937,224957,232150,239136,245845,252201,258208,263841,269040,273796,278111,282507,287324,292284,297226,302135,307018,314401,325126,336883,349037,361575,374440,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787,521021,517887,515223,513362,512284,511718,511725,512683,514714,517587,520779,523920,526981,529986,532965,535943,538923,541917,544920,547913,550899,553876,556821,559692,562457,565094,567593,569909,572011,573870,575462,576766,577761,578462,578857,578942,578717,578184,577365,576271,574889,573237,571356,569249,566929,564418,561735,558896,555898,552756,549506,546163,542722,539198,535603,531947,528254,524540,520833,517152,513499,509901,506395,503002,499728,496594,493595,490755,488081,485558,483190,480954,478839,476818,474885,473031,471225,469441
Mali,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1403398,1404037,1405317,1407240,1409806,1413017,1416236,1419462,1422695,1425935,1429183,1432439,1435702,1438972,1442249,1445535,1448827,1452127,1455435,1458750,1462073,1465403,1468741,1472086,1475440,1478800,1482169,1485545,1488929,1492320,1495719,1499043,1502290,1514635,1526940,1539205,1551513,1563864,1576258,1588695,1601176,1613701,1626269,1638881,1651536,1664236,1676980,1689769,1702601,1715479,1728401,1742066,1756489,1771687,1787675,1804470,1821371,1838378,1855491,1872713,1890042,1907480,1925028,1942685,1960452,1978331,1996321,2014424,2032639,2050968,2069411,2088388,2107910,2127987,2148630,2169850,2191229,2212767,2234466,2256327,2278350,2303311,2331296,2362389,2396679,2434255,2472367,2511024,2550231,2589998,2630330,2669617,2707812,2744870,2780744,2815387,2850406,2885805,2921588,2957759,2981422,3008908,3040300,3075681,3115134,3158746,3202968,3247810,3293279,3339385,3386136,3432846,3479504,3526102,3572627,3619072,3666119,3713779,3762058,3810965,3860507,3913863,3971134,4032428,4097851,4167514,4238362,4310414,4383691,4458214,4534004,4612876,4694916,4760160,4824822,4888110,4950987,5014680,5079258,5144686,5208910,5275377,5346792,5420247,5494845,5570462,5647380,5726382,5806572,5888497,5973762,6061764,6153587,6247878,6347158,6455257,6569273,6687293,6807648,6935336,7072938,7218079,7372581,7532864,7696349,7863944,8030099,8187651,8334588,8474329,8617474,8774122,8945026,9123969,9310572,9506510,9711797,9921094,10131906,10359301,10620475,10916993,11239101,11583824,11952660,12342165,12751995,13180551,13623541,14080912,14551117,15032635,15529181,16039734,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790,38640264,39601808,40569803,41544497,42526196,43508588,44489503,45473455,46457488,47439802,48423321,49408177,50391289,51369962,52348488,53329387,54306257,55276889,56247296,57218253,58188614,59157329,60116402,61068198,62013086,62949279,63880495,64805051,65719829,66622485,67513141,68394709,69266170,70124688,70969504,71805062,72627379,73434674,74233137,75017018,75785235,76541346,77281629,78001846,78705023,79391352,80057149,80702410,81332322,81945928,82542443,83121639,83681543,84222986,84743051,85244466,85728390,86194302,86645133,87079523
Malta,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134072,134232,134553,135036,135681,136491,137305,138124,138948,139777,140611,141450,142294,143143,143997,144856,145720,146590,147464,148344,149229,150119,151015,151916,152822,153734,154651,155574,156502,157436,158375,159320,160270,161084,161901,162723,163548,164378,165211,166049,166891,167737,168587,169442,170300,171163,172030,172901,173777,174656,175541,176429,177322,178219,179121,180027,180937,181852,182771,183695,184623,185556,186494,187436,188383,189334,190290,191250,192216,193186,194160,195140,196124,197113,198107,199106,200109,201118,202131,203149,204173,205201,206234,207272,208316,209364,210418,211476,212540,213609,214683,215427,215840,215922,215673,215092,214512,213933,213356,212780,212406,212398,212759,213491,214596,216075,217565,219064,220574,222095,223626,225373,227340,229531,231950,234600,237281,239993,242735,245509,248314,251311,254503,257894,261491,265297,269158,273075,277050,281082,285173,288773,291873,298188,304707,311417,317760,323596,328721,332598,335351,336970,337628,337120,335452,332894,329757,326401,322983,320151,318055,316457,315414,315099,315373,316193,317609,319619,322010,324648,327466,330471,333587,336617,339668,342886,346086,349118,352091,355169,358439,361894,365392,368670,371880,375241,378563,381849,385269,388839,392483,395983,399212,402151,404699,406919,408798,410208,411197,412081,413401,415500,418755,423571,429907,437525,446441,456579,467705,479497,491586,503635,515358,526748,533286,535064,536740,538297,539715,540956,541996,542824,543425,543793,543919,543800,543443,542874,542106,541163,540076,538874,537574,536189,534754,533270,531758,530247,528737,527222,525713,524226,522737,521238,519731,518203,516660,515104,513520,511902,510229,508502,506713,504829,502839,500740,498514,496148,493641,490976,488147,485170,482048,478788,475401,471896,468278,464555,460760,456911,453010,449082,445138,441193,437277,433409,429611,425889,422272,418762,415365,412102,408981,406024,403223,400584,398113,395791,393632,391633,389767,388019,386365
Marshall Islands,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5828,5855,5910,5993,6105,6247,6392,6541,6693,6849,7008,7171,7338,7508,7683,7861,8044,8231,8422,8618,8818,9023,9233,9448,9667,9892,10122,10357,10598,10845,11097,11355,11618,11908,12204,12508,12819,13138,13464,13799,14143,14494,14855,15224,15602,15990,16388,16795,17212,17640,18078,18527,18987,19459,19942,20437,20945,21465,21998,22544,23103,23677,24264,24866,25483,26115,26763,27427,28107,28804,29518,30250,31000,31768,32556,33363,34189,35037,35905,36794,37706,38640,39597,40577,41582,42612,43667,44748,45855,46990,48153,49345,50566,51817,53099,54413,55759,57138,58551,59999,61394,62821,64282,65776,67305,68869,70470,72109,73785,75500,77255,77209,75486,72200,67453,61336,55773,50716,46116,41934,38131,34673,31529,28669,26070,23705,21556,19601,17823,16207,14737,13700,13066,13316,13540,13747,13916,14062,14200,14329,14536,14905,15374,15867,16387,16947,17537,18154,18794,19665,21001,22623,23969,24680,25084,25522,26174,27047,27964,28912,29892,30902,31988,33219,34569,35975,37437,38962,40527,42122,43687,44988,46047,47053,48015,48944,49840,50702,51538,52358,53164,53834,54224,54413,54496,54493,54435,54337,54208,54038,53816,53593,53416,52971,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050,41569,41996,42415,42819,43209,43594,43978,44358,44733,45107,45484,45863,46235,46611,46988,47356,47719,48078,48434,48779,49109,49431,49737,50023,50294,50553,50791,51008,51211,51398,51569,51721,51858,51988,52111,52221,52319,52414,52499,52575,52656,52733,52806,52874,52945,53009,53066,53128,53181,53228,53272,53310,53344,53370,53390,53404,53404,53395,53367,53336,53294,53234,53165,53088,53001,52904,52793,52667,52534,52398,52258,52106,51951,51793,51633,51471,51307,51142,50977
Mauritania,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,382696,381978,380549,378416,375585,372062,368573,365116,361692,358300,354940,351611,348314,345047,341811,338605,335430,332284,329168,326081,323022,319993,316992,314019,311074,308157,305267,302404,299568,296758,293975,291990,290798,290166,290318,291247,292180,293116,294054,294995,295939,296886,297836,298789,299744,300702,301663,302627,303594,304564,305537,306574,307676,308843,310076,311376,312680,313990,315304,316625,317950,319345,320810,322346,323953,325632,327319,329015,330719,332432,334154,335952,337827,339780,341811,343922,346045,348181,350331,352493,354668,357001,359492,362144,364959,367940,370944,373973,377026,380104,383207,386100,388783,391251,393502,395533,397575,399626,401688,403761,406183,409360,413307,418040,423575,429929,436378,442924,449568,456311,463156,470008,476866,483728,490594,497463,504427,511489,518650,525911,533274,541178,549640,558674,568298,578527,588941,599542,610334,621320,632503,644899,658555,673322,688702,704643,721227,738577,756727,775698,795593,816484,838478,861663,885938,911290,937830,965621,994697,1024992,1056393,1088832,1122198,1156361,1191376,1227358,1264352,1302436,1341604,1381329,1421786,1463514,1506694,1551687,1598332,1646343,1695675,1746265,1798009,1851092,1905847,1955040,2006027,2066302,2147527,2237064,2315191,2380341,2428816,2484278,2550501,2620611,2695003,2761823,2821703,2883326,2946575,3012360,3081229,3153508,3233336,3322616,3419461,3524249,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139,4862989,4993922,5128141,5264526,5403200,5543997,5686445,5830563,5976298,6123818,6273096,6424061,6576462,6729985,6884282,7038820,7193387,7348229,7503613,7659504,7816017,7972905,8129917,8286960,8443897,8600535,8757322,8914673,9072492,9230222,9387846,9545347,9702915,9860747,10017985,10174508,10330006,10484816,10639439,10793660,10947287,11099844,11251081,11401067,11549832,11697076,11842835,11987316,12130474,12271881,12411651,12549855,12686942,12822584,12955752,13086872,13215757,13342329,13467969,13592459,13714131,13833502,13951133,14066715,14179985,14290560,14398970,14505347,14609665,14711363,14810652,14908326,15003594,15096766,15187918,15277067,15364742,15450985
